Clip,Platform,Format,Language,Version,Status,Filename,Export_Path,Notes
Clip01,Instagram Reels,9x16,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_INSTA_9x16_20241220_V01.mp4,07_Exports/9x16/ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_INSTA_9x16_20241220_V01.mp4,
Clip01,Instagram Reels,1x1,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_INSTA_1x1_20241220_V01.mp4,07_Exports/1x1/ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_INSTA_1x1_20241220_V01.mp4,
Clip01,TikTok,9x16,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_TIKTOK_9x16_20241220_V01.mp4,07_Exports/9x16/ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_TIKTOK_9x16_20241220_V01.mp4,
Clip01,TikTok,1x1,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_TIKTOK_1x1_20241220_V01.mp4,07_Exports/1x1/ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_TIKTOK_1x1_20241220_V01.mp4,
Clip01,LinkedIn,9x16,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_LINKEDIN_9x16_20241220_V01.mp4,07_Exports/9x16/ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_LINKEDIN_9x16_20241220_V01.mp4,
Clip01,LinkedIn,1x1,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_LINKEDIN_1x1_20241220_V01.mp4,07_Exports/1x1/ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_LINKEDIN_1x1_20241220_V01.mp4,
Clip01,YouTube Shorts,9x16,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_YTSHORTS_9x16_20241220_V01.mp4,07_Exports/9x16/ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_YTSHORTS_9x16_20241220_V01.mp4,
Clip01,YouTube Shorts,1x1,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_YTSHORTS_1x1_20241220_V01.mp4,07_Exports/1x1/ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_YTSHORTS_1x1_20241220_V01.mp4,
Clip02,Instagram Reels,9x16,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_INSTA_9x16_20241220_V01.mp4,07_Exports/9x16/ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_INSTA_9x16_20241220_V01.mp4,
Clip02,Instagram Reels,1x1,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_INSTA_1x1_20241220_V01.mp4,07_Exports/1x1/ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_INSTA_1x1_20241220_V01.mp4,
Clip02,TikTok,9x16,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_TIKTOK_9x16_20241220_V01.mp4,07_Exports/9x16/ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_TIKTOK_9x16_20241220_V01.mp4,
Clip02,TikTok,1x1,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_TIKTOK_1x1_20241220_V01.mp4,07_Exports/1x1/ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_TIKTOK_1x1_20241220_V01.mp4,
Clip02,LinkedIn,9x16,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_LINKEDIN_9x16_20241220_V01.mp4,07_Exports/9x16/ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_LINKEDIN_9x16_20241220_V01.mp4,
Clip02,LinkedIn,1x1,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_LINKEDIN_1x1_20241220_V01.mp4,07_Exports/1x1/ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_LINKEDIN_1x1_20241220_V01.mp4,
Clip02,YouTube Shorts,9x16,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_YTSHORTS_9x16_20241220_V01.mp4,07_Exports/9x16/ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_YTSHORTS_9x16_20241220_V01.mp4,
Clip02,YouTube Shorts,1x1,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_YTSHORTS_1x1_20241220_V01.mp4,07_Exports/1x1/ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_YTSHORTS_1x1_20241220_V01.mp4,
Clip03,Instagram Reels,9x16,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_INSTA_9x16_20241220_V01.mp4,07_Exports/9x16/ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_INSTA_9x16_20241220_V01.mp4,
Clip03,Instagram Reels,1x1,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_INSTA_1x1_20241220_V01.mp4,07_Exports/1x1/ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_INSTA_1x1_20241220_V01.mp4,
Clip03,TikTok,9x16,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_TIKTOK_9x16_20241220_V01.mp4,07_Exports/9x16/ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_TIKTOK_9x16_20241220_V01.mp4,
Clip03,TikTok,1x1,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_TIKTOK_1x1_20241220_V01.mp4,07_Exports/1x1/ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_TIKTOK_1x1_20241220_V01.mp4,
Clip03,LinkedIn,9x16,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_LINKEDIN_9x16_20241220_V01.mp4,07_Exports/9x16/ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_LINKEDIN_9x16_20241220_V01.mp4,
Clip03,LinkedIn,1x1,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_LINKEDIN_1x1_20241220_V01.mp4,07_Exports/1x1/ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_LINKEDIN_1x1_20241220_V01.mp4,
Clip03,YouTube Shorts,9x16,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_YTSHORTS_9x16_20241220_V01.mp4,07_Exports/9x16/ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_YTSHORTS_9x16_20241220_V01.mp4,
Clip03,YouTube Shorts,1x1,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_YTSHORTS_1x1_20241220_V01.mp4,07_Exports/1x1/ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_YTSHORTS_1x1_20241220_V01.mp4,
Clip04,Instagram Reels,9x16,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_INSTA_9x16_20241220_V01.mp4,07_Exports/9x16/ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_INSTA_9x16_20241220_V01.mp4,
Clip04,Instagram Reels,1x1,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_INSTA_1x1_20241220_V01.mp4,07_Exports/1x1/ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_INSTA_1x1_20241220_V01.mp4,
Clip04,TikTok,9x16,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_TIKTOK_9x16_20241220_V01.mp4,07_Exports/9x16/ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_TIKTOK_9x16_20241220_V01.mp4,
Clip04,TikTok,1x1,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_TIKTOK_1x1_20241220_V01.mp4,07_Exports/1x1/ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_TIKTOK_1x1_20241220_V01.mp4,
Clip04,LinkedIn,9x16,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_LINKEDIN_9x16_20241220_V01.mp4,07_Exports/9x16/ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_LINKEDIN_9x16_20241220_V01.mp4,
Clip04,LinkedIn,1x1,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_LINKEDIN_1x1_20241220_V01.mp4,07_Exports/1x1/ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_LINKEDIN_1x1_20241220_V01.mp4,
Clip04,YouTube Shorts,9x16,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_YTSHORTS_9x16_20241220_V01.mp4,07_Exports/9x16/ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_YTSHORTS_9x16_20241220_V01.mp4,
Clip04,YouTube Shorts,1x1,ES,V01,Not started,ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_YTSHORTS_1x1_20241220_V01.mp4,07_Exports/1x1/ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_YTSHORTS_1x1_20241220_V01.mp4,
