marker_name,start_timecode,end_timecode,duration,color,comment,platform,format,export_filename
Clip01_InstagramReels_9x16,00:03:15:00,00:04:30:00,00:01:15:00,Cyan,brand awareness | ¿Cuándo fue la última vez que alguien te escuchó de verdad? | Cortar justo después de la pregunta retórica. Fade in suave.,Instagram Reels,9x16,ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_INSTA_9x16_20241220_V01.mp4
Clip01_InstagramReels_1x1,00:03:15:00,00:04:30:00,00:01:15:00,Cyan,brand awareness | ¿Cuándo fue la última vez que alguien te escuchó de verdad? | Cortar justo después de la pregunta retórica. Fade in suave.,Instagram Reels,1x1,ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_INSTA_1x1_20241220_V01.mp4
Clip01_TikTok_9x16,00:03:15:00,00:04:30:00,00:01:15:00,Magenta,brand awareness | ¿Cuándo fue la última vez que alguien te escuchó de verdad? | Cortar justo después de la pregunta retórica. Fade in suave.,TikTok,9x16,ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_TIKTOK_9x16_20241220_V01.mp4
Clip01_TikTok_1x1,00:03:15:00,00:04:30:00,00:01:15:00,Magenta,brand awareness | ¿Cuándo fue la última vez que alguien te escuchó de verdad? | Cortar justo después de la pregunta retórica. Fade in suave.,TikTok,1x1,ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_TIKTOK_1x1_20241220_V01.mp4
Clip01_LinkedIn_9x16,00:03:15:00,00:04:30:00,00:01:15:00,Blue,brand awareness | ¿Cuándo fue la última vez que alguien te escuchó de verdad? | Cortar justo después de la pregunta retórica. Fade in suave.,LinkedIn,9x16,ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_LINKEDIN_9x16_20241220_V01.mp4
Clip01_LinkedIn_1x1,00:03:15:00,00:04:30:00,00:01:15:00,Blue,brand awareness | ¿Cuándo fue la última vez que alguien te escuchó de verdad? | Cortar justo después de la pregunta retórica. Fade in suave.,LinkedIn,1x1,ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_LINKEDIN_1x1_20241220_V01.mp4
Clip01_YouTubeShorts_9x16,00:03:15:00,00:04:30:00,00:01:15:00,Orange,brand awareness | ¿Cuándo fue la última vez que alguien te escuchó de verdad? | Cortar justo después de la pregunta retórica. Fade in suave.,YouTube Shorts,9x16,ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_YTSHORTS_9x16_20241220_V01.mp4
Clip01_YouTubeShorts_1x1,00:03:15:00,00:04:30:00,00:01:15:00,Orange,brand awareness | ¿Cuándo fue la última vez que alguien te escuchó de verdad? | Cortar justo después de la pregunta retórica. Fade in suave.,YouTube Shorts,1x1,ACME_STUDIO_PODCAST_LEADERSHIP_Clip01_YTSHORTS_1x1_20241220_V01.mp4
Clip02_InstagramReels_9x16,00:12:40:00,00:14:05:00,00:01:25:00,Cyan,engagement | Cometí un error que nos costó 3 meses de trabajo | Alto impacto emocional. Usar B-roll de sala de reuniones.,Instagram Reels,9x16,ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_INSTA_9x16_20241220_V01.mp4
Clip02_InstagramReels_1x1,00:12:40:00,00:14:05:00,00:01:25:00,Cyan,engagement | Cometí un error que nos costó 3 meses de trabajo | Alto impacto emocional. Usar B-roll de sala de reuniones.,Instagram Reels,1x1,ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_INSTA_1x1_20241220_V01.mp4
Clip02_TikTok_9x16,00:12:40:00,00:14:05:00,00:01:25:00,Magenta,engagement | Cometí un error que nos costó 3 meses de trabajo | Alto impacto emocional. Usar B-roll de sala de reuniones.,TikTok,9x16,ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_TIKTOK_9x16_20241220_V01.mp4
Clip02_TikTok_1x1,00:12:40:00,00:14:05:00,00:01:25:00,Magenta,engagement | Cometí un error que nos costó 3 meses de trabajo | Alto impacto emocional. Usar B-roll de sala de reuniones.,TikTok,1x1,ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_TIKTOK_1x1_20241220_V01.mp4
Clip02_LinkedIn_9x16,00:12:40:00,00:14:05:00,00:01:25:00,Blue,engagement | Cometí un error que nos costó 3 meses de trabajo | Alto impacto emocional. Usar B-roll de sala de reuniones.,LinkedIn,9x16,ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_LINKEDIN_9x16_20241220_V01.mp4
Clip02_LinkedIn_1x1,00:12:40:00,00:14:05:00,00:01:25:00,Blue,engagement | Cometí un error que nos costó 3 meses de trabajo | Alto impacto emocional. Usar B-roll de sala de reuniones.,LinkedIn,1x1,ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_LINKEDIN_1x1_20241220_V01.mp4
Clip02_YouTubeShorts_9x16,00:12:40:00,00:14:05:00,00:01:25:00,Orange,engagement | Cometí un error que nos costó 3 meses de trabajo | Alto impacto emocional. Usar B-roll de sala de reuniones.,YouTube Shorts,9x16,ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_YTSHORTS_9x16_20241220_V01.mp4
Clip02_YouTubeShorts_1x1,00:12:40:00,00:14:05:00,00:01:25:00,Orange,engagement | Cometí un error que nos costó 3 meses de trabajo | Alto impacto emocional. Usar B-roll de sala de reuniones.,YouTube Shorts,1x1,ACME_STUDIO_PODCAST_LEADERSHIP_Clip02_YTSHORTS_1x1_20241220_V01.mp4
Clip03_InstagramReels_9x16,00:28:10:00,00:29:20:00,00:01:10:00,Cyan,education | Los equipos no fracasan por falta de talento | Ritmo rápido. Usar texto en pantalla con los 3 puntos clave.,Instagram Reels,9x16,ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_INSTA_9x16_20241220_V01.mp4
Clip03_InstagramReels_1x1,00:28:10:00,00:29:20:00,00:01:10:00,Cyan,education | Los equipos no fracasan por falta de talento | Ritmo rápido. Usar texto en pantalla con los 3 puntos clave.,Instagram Reels,1x1,ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_INSTA_1x1_20241220_V01.mp4
Clip03_TikTok_9x16,00:28:10:00,00:29:20:00,00:01:10:00,Magenta,education | Los equipos no fracasan por falta de talento | Ritmo rápido. Usar texto en pantalla con los 3 puntos clave.,TikTok,9x16,ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_TIKTOK_9x16_20241220_V01.mp4
Clip03_TikTok_1x1,00:28:10:00,00:29:20:00,00:01:10:00,Magenta,education | Los equipos no fracasan por falta de talento | Ritmo rápido. Usar texto en pantalla con los 3 puntos clave.,TikTok,1x1,ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_TIKTOK_1x1_20241220_V01.mp4
Clip03_LinkedIn_9x16,00:28:10:00,00:29:20:00,00:01:10:00,Blue,education | Los equipos no fracasan por falta de talento | Ritmo rápido. Usar texto en pantalla con los 3 puntos clave.,LinkedIn,9x16,ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_LINKEDIN_9x16_20241220_V01.mp4
Clip03_LinkedIn_1x1,00:28:10:00,00:29:20:00,00:01:10:00,Blue,education | Los equipos no fracasan por falta de talento | Ritmo rápido. Usar texto en pantalla con los 3 puntos clave.,LinkedIn,1x1,ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_LINKEDIN_1x1_20241220_V01.mp4
Clip03_YouTubeShorts_9x16,00:28:10:00,00:29:20:00,00:01:10:00,Orange,education | Los equipos no fracasan por falta de talento | Ritmo rápido. Usar texto en pantalla con los 3 puntos clave.,YouTube Shorts,9x16,ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_YTSHORTS_9x16_20241220_V01.mp4
Clip03_YouTubeShorts_1x1,00:28:10:00,00:29:20:00,00:01:10:00,Orange,education | Los equipos no fracasan por falta de talento | Ritmo rápido. Usar texto en pantalla con los 3 puntos clave.,YouTube Shorts,1x1,ACME_STUDIO_PODCAST_LEADERSHIP_Clip03_YTSHORTS_1x1_20241220_V01.mp4
Clip04_InstagramReels_9x16,00:41:55:00,00:43:15:00,00:01:20:00,Cyan,conversion | Una sola conversación puede cambiar el rumbo de una empresa | Punto de inflexión narrativo. Música de fondo discreta.,Instagram Reels,9x16,ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_INSTA_9x16_20241220_V01.mp4
Clip04_InstagramReels_1x1,00:41:55:00,00:43:15:00,00:01:20:00,Cyan,conversion | Una sola conversación puede cambiar el rumbo de una empresa | Punto de inflexión narrativo. Música de fondo discreta.,Instagram Reels,1x1,ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_INSTA_1x1_20241220_V01.mp4
Clip04_TikTok_9x16,00:41:55:00,00:43:15:00,00:01:20:00,Magenta,conversion | Una sola conversación puede cambiar el rumbo de una empresa | Punto de inflexión narrativo. Música de fondo discreta.,TikTok,9x16,ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_TIKTOK_9x16_20241220_V01.mp4
Clip04_TikTok_1x1,00:41:55:00,00:43:15:00,00:01:20:00,Magenta,conversion | Una sola conversación puede cambiar el rumbo de una empresa | Punto de inflexión narrativo. Música de fondo discreta.,TikTok,1x1,ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_TIKTOK_1x1_20241220_V01.mp4
Clip04_LinkedIn_9x16,00:41:55:00,00:43:15:00,00:01:20:00,Blue,conversion | Una sola conversación puede cambiar el rumbo de una empresa | Punto de inflexión narrativo. Música de fondo discreta.,LinkedIn,9x16,ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_LINKEDIN_9x16_20241220_V01.mp4
Clip04_LinkedIn_1x1,00:41:55:00,00:43:15:00,00:01:20:00,Blue,conversion | Una sola conversación puede cambiar el rumbo de una empresa | Punto de inflexión narrativo. Música de fondo discreta.,LinkedIn,1x1,ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_LINKEDIN_1x1_20241220_V01.mp4
Clip04_YouTubeShorts_9x16,00:41:55:00,00:43:15:00,00:01:20:00,Orange,conversion | Una sola conversación puede cambiar el rumbo de una empresa | Punto de inflexión narrativo. Música de fondo discreta.,YouTube Shorts,9x16,ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_YTSHORTS_9x16_20241220_V01.mp4
Clip04_YouTubeShorts_1x1,00:41:55:00,00:43:15:00,00:01:20:00,Orange,conversion | Una sola conversación puede cambiar el rumbo de una empresa | Punto de inflexión narrativo. Música de fondo discreta.,YouTube Shorts,1x1,ACME_STUDIO_PODCAST_LEADERSHIP_Clip04_YTSHORTS_1x1_20241220_V01.mp4
Clip05_InstagramReels_9x16,00:55:30:00,00:57:00:00,00:01:30:00,Cyan,brand awareness | Hay una habilidad de liderazgo que ningún libro te enseña | Cierre potente. Usar como último clip en el carrusel.,Instagram Reels,9x16,ACME_STUDIO_PODCAST_LEADERSHIP_Clip05_INSTA_9x16_20241220_V01.mp4
Clip05_InstagramReels_1x1,00:55:30:00,00:57:00:00,00:01:30:00,Cyan,brand awareness | Hay una habilidad de liderazgo que ningún libro te enseña | Cierre potente. Usar como último clip en el carrusel.,Instagram Reels,1x1,ACME_STUDIO_PODCAST_LEADERSHIP_Clip05_INSTA_1x1_20241220_V01.mp4
Clip05_TikTok_9x16,00:55:30:00,00:57:00:00,00:01:30:00,Magenta,brand awareness | Hay una habilidad de liderazgo que ningún libro te enseña | Cierre potente. Usar como último clip en el carrusel.,TikTok,9x16,ACME_STUDIO_PODCAST_LEADERSHIP_Clip05_TIKTOK_9x16_20241220_V01.mp4
Clip05_TikTok_1x1,00:55:30:00,00:57:00:00,00:01:30:00,Magenta,brand awareness | Hay una habilidad de liderazgo que ningún libro te enseña | Cierre potente. Usar como último clip en el carrusel.,TikTok,1x1,ACME_STUDIO_PODCAST_LEADERSHIP_Clip05_TIKTOK_1x1_20241220_V01.mp4
Clip05_LinkedIn_9x16,00:55:30:00,00:57:00:00,00:01:30:00,Blue,brand awareness | Hay una habilidad de liderazgo que ningún libro te enseña | Cierre potente. Usar como último clip en el carrusel.,LinkedIn,9x16,ACME_STUDIO_PODCAST_LEADERSHIP_Clip05_LINKEDIN_9x16_20241220_V01.mp4
Clip05_LinkedIn_1x1,00:55:30:00,00:57:00:00,00:01:30:00,Blue,brand awareness | Hay una habilidad de liderazgo que ningún libro te enseña | Cierre potente. Usar como último clip en el carrusel.,LinkedIn,1x1,ACME_STUDIO_PODCAST_LEADERSHIP_Clip05_LINKEDIN_1x1_20241220_V01.mp4
Clip05_YouTubeShorts_9x16,00:55:30:00,00:57:00:00,00:01:30:00,Orange,brand awareness | Hay una habilidad de liderazgo que ningún libro te enseña | Cierre potente. Usar como último clip en el carrusel.,YouTube Shorts,9x16,ACME_STUDIO_PODCAST_LEADERSHIP_Clip05_YTSHORTS_9x16_20241220_V01.mp4
Clip05_YouTubeShorts_1x1,00:55:30:00,00:57:00:00,00:01:30:00,Orange,brand awareness | Hay una habilidad de liderazgo que ningún libro te enseña | Cierre potente. Usar como último clip en el carrusel.,YouTube Shorts,1x1,ACME_STUDIO_PODCAST_LEADERSHIP_Clip05_YTSHORTS_1x1_20241220_V01.mp4
